,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,B8,C,Y,Z
A1,0,4,2,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-0.5,0
A2,-4,0,-2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-0.5,0
A3,-2,2,0,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-0.5,0
A4,-6,-2,-4,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-0.5,0
B1,3,3,3,3,0,0,0,0,1,2,2,-2,-2,-0.5,0
B2,3,3,3,3,0,0,0,0,1,2,2,-2,-2,-0.5,0
B3,3,3,3,3,0,0,0,0,1,2,2,-2,-2,-0.5,0
B4,3,3,3,3,0,0,0,0,1,2,2,-2,-2,-0.5,0
B5,3,3,3,3,-1,-1,-1,-1,0,1,1,-3,-2,-0.5,0
B6,3,3,3,3,-2,-2,-2,-2,-1,0,0,-4,-2,-0.5,0
B7,3,3,3,3,-2,-2,-2,-2,-1,0,0,-4,-2,-0.5,0
B8,3,3,3,3,2,2,2,2,3,4,4,0,-2,-0.5,0
C,3,3,3,3,2,2,2,2,2,2,2,2,0,-0.5,0
Y,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
