id,name,name1,gender,birthpro,birthpro1,birth,death,ethnic,edu,college,major,gschool,gmajor,abroad,mishu,prince,careerb,ptime,purged,purgeds,pursede,anyuan,base1,lmarch,base2,base3,jgshan,kangda,jxsoviet,red4th,enterp,enterps,enterpe,enterplace,radmin,volunteer,farmy,rank12,rank13,rank14,rank15,rank16,rank12,rank13,rank14,rank15,rank16,job1,job1s,job1e,job2,job2s,job2e,job3,job3s,job3e,job4,job4s,job4e,job5,job5s,job5e,job6,job6s,job6e,job7,job7s,job7e,job8,job8s,job8e,job9,job9s,job9e,job10,job10s,job10e,job11,job11s,job11e,job12,job12s,job12e,job13,job13s,job13e,job14,job14s,job14e,job15,job15s,job15e,job16,job16s,job16e,job17,job17s,job17e,job18,job18s,job18e,job19,job19s,job19e,job20,job20s,job20e,job21,job21s,job21e,job22,job22s,job22e,job23,job23s,job23e,job24,job24s,job24e,job25,job25s,job25e,job26,job26s,job26e,job27,job27s,job27e
1,阿不来提·阿不都热西提,Abulaiti Abureduxiti,1,新疆,31,1942,,5,2,3600,4,,,0,0,0,技术员、工程师,1960,0,,,0,,0,,,0,0,0,0,,,,,,0,,,,,,,,,,,,2305,1980,1991,2303,1991,1993,2301.1,1994,2003,4503,2003,2007,15,1997,2002,16,2002,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,艾斯海提·克里木拜,Aisihaiti Kelimubai,1,新疆,31,1947,,16,2,3600,1,,,0,0,0,中国人民解放军部队锻炼,1975,0,,,0,,0,,,0,0,0,0,,,,,,0,,,,,21,1,,,,21,1,2307,1972,1987,2307,1988,1993,2303,1993,2001,2304,2002,2007,4510,2003,,15.1,1997,2002,16.1,2002,2004,16,2004,2007,13600.1,1987,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,艾知生,Ai Zhisheng,1,湖北,17,1928,1997,0,2,103,4,,,0,0,0,,1948,1,1966,1971,0,,0,,4,0,0,0,0,,,,,,0,,,,,,,,,,,,4509,1996,1997,1075,1983,1985,1391,1985,1994,12.1,1985,1987,13,1987,1992,14,1992,1997,10103.3,1946,1960,10103.2,1960,1966,10103.2,1971,1973,10103.3,1977,1978,10103.2,1978,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,安平生,An Pingsheng,1,陕西,27,1917,1999,0,0,,,,,0,0,0,,1937,1,1966,1967,0,,0,2,4,0,0,0,0,,,,,,0,,,,,,,,,,,,3555,1975,1977,3561,1977,1982,3565,1982,1985,2005,1949,1950,2187,1950,1951,2185,1951,1956,2183,1956,1961,2193,1961,1967,2193,1968,1975,2191,1975,1977,2241,1977,1985,10,1973,1977,11,1977,1982,12,1982,1987,6750,1987,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,安志文,An Zhiwen,1,陕西,27,1919,,0,1,,,,,0,0,0,,1937,1,1966,1977,0,,0,2,3,0,1,0,0,,,,,,0,,96,,,,,96,,,,,2063,1977,1979,1127,1952,1954,1123,1954,1965,1423,1965,1966,1443,1979,1981,1441,1981,1982,1123,1982,1987,12.1,1982,1987,6750,1987,1992,2507,1945,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,安子文,An Ziwen,1,陕西,27,1909,1980,0,1,,,,,0,0,0,,1927,1,1966,1978,0,4,0,4,2,0,0,0,0,,,,,,0,,,,,,,,,,,,4509,1954,1966,4007,1979,1980,1231,1950,1954,8,1956,1969,11,1979,1980,6013,1949,1956,6503,1950,1955,6121,1951,1956,13400.2,1979,1980,2517,1930,1930,2517,1937,1943,2517,1950,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,巴桑,Ba Sang,0,西藏,26,1937,,9,1,118,2,,,0,0,0,,1959,0,,,0,,0,,,0,0,0,0,,,,,,0,,,,,,,,,,,,2257,1959,1968,2253,1968,2003,4009,1975,1983,4510,1998,2003,10,1973,1977,11,1977,1982,12,1982,1987,6507,1987,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,巴特尔,Ba Teer,1,辽宁,6,1955,,8,3,3600,1,902,2,2,0,0,教师,1981,0,,,0,,0,,,0,0,0,0,,,,,,0,,,,,80,,,,,80,,2047,1983,1984,2045,1984,1992,2007,1991,1992,2047,1992,1999,2043,1999,2007,15.1,1997,2002,6507,2002,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,巴图巴根,Ba Tu Ba Gen,1,吉林,7,1924,,8,1,,,,,0,0,0,,1946,1,1966,1973,0,,0,,4,0,0,0,0,,,,,,0,,57,74,,,,57,74,,,,2047,1949,1966,2047,1973,1979,2043,1979,1989,2044,1989,1993,4507,1993,1998,12.1,1982,1987,13.1,1987,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,白春礼,Bai Chunli,1,辽宁,6,1953,,2,3,101,3,3200,3,4,0,0,研究员,1974,0,,,0,,0,,,0,0,0,0,,,,,,0,,,,,102,31,,,,102,31,4510,1993,1998,15.1,1997,2002,16.1,2002,2007,13200.3,1987,1996,13200.2,1996,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,白栋材,Bai Dongcai,1,陕西,27,1916,,0,0,,,,,0,0,0,,1935,1,1966,1969,0,2,0,2,3,0,0,0,0,,,,,,0,,,,,,,,,,,,3545,1982,1985,2133,1949,1967,2135,1969,1970,2131.1,1979,1982,2131,1982,1985,10.1,1973,1977,11,1977,1982,12,1982,1985,6750,1987,1992,2557,1938,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,白恩培,Bai Enpei,1,陕西,27,1946,,0,2,2706,4,,,0,0,0,技术员,1973,1,1970,1972,0,,0,,,0,0,0,0,,,,,,0,,,100,66,,,,100,66,,,2267,1983,1990,2043,1990,1997,2281.1,1997,1999,2281,1999,2001,2241,2002,2007,13.1,1987,1992,14.1,1992,1997,15,1997,2002,16,2002,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,白纪年,Bai Jinian,1,陕西,27,1926,,0,1,,,,,0,0,0,教员,1942,1,1967,1976,0,,0,2,2,0,0,0,0,,,,,2557,0,,,,,,,,,,,,2265,1953,1966,2267,1966,1967,2265,1976,1979,2263,1979,1984,2261,1984,1987,4510,1959,1983,4509,1988,1998,12,1985,1987,2557,1950,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
